番号,大学名,コード,URL
1,東京大学,t01,https://www.kawai-juku.ac.jp/nyushi/honshi/25/t01/
2,京都大学,k01,https://www.kawai-juku.ac.jp/nyushi/honshi/25/k01/
3,名古屋大学,n01,https://www.kawai-juku.ac.jp/nyushi/honshi/25/n01/
4,広島大学,hr1,https://www.kawai-juku.ac.jp/nyushi/honshi/25/hr1/
5,九州大学,ky1,https://www.kawai-juku.ac.jp/nyushi/honshi/25/ky1/
6,北海道大学,ho1,https://www.kawai-juku.ac.jp/nyushi/honshi/25/ho1/
7,東北大学,th1,https://www.kawai-juku.ac.jp/nyushi/honshi/25/th1/
8,東京科学大学(医歯学系),gk1,https://www.kawai-juku.ac.jp/nyushi/honshi/25/gk1/
9,東京科学大学(理工学系),gk2,https://www.kawai-juku.ac.jp/nyushi/honshi/25/gk2/
10,一橋大学,ht1,https://www.kawai-juku.ac.jp/nyushi/honshi/25/ht1/
11,大阪大学,ha1,https://www.kawai-juku.ac.jp/nyushi/honshi/25/ha1/
12,神戸大学,kb1,https://www.kawai-juku.ac.jp/nyushi/honshi/25/kb1/
13,文学部,k11,https://www.kawai-juku.ac.jp/nyushi/honshi/25/k11/
14,法学部,k12,https://www.kawai-juku.ac.jp/nyushi/honshi/25/k12/
15,経済学部,k14,https://www.kawai-juku.ac.jp/nyushi/honshi/25/k14/
16,商学部,k15,https://www.kawai-juku.ac.jp/nyushi/honshi/25/k15/
17,理工学部,k16,https://www.kawai-juku.ac.jp/nyushi/honshi/25/k16/
18,医学部,k17,https://www.kawai-juku.ac.jp/nyushi/honshi/25/k17/
19,文学部,w01,https://www.kawai-juku.ac.jp/nyushi/honshi/25/w01/
20,文科構想学部,w02,https://www.kawai-juku.ac.jp/nyushi/honshi/25/w02/
21,法学部,w06,https://www.kawai-juku.ac.jp/nyushi/honshi/25/w06/
22,基幹理工、創造理工、先進理工学部,w09,https://www.kawai-juku.ac.jp/nyushi/honshi/25/w09/
23,全学部日程（文系）,d01,https://www.kawai-juku.ac.jp/nyushi/honshi/25/d01/
24,全学部日程（理系）,d02,https://www.kawai-juku.ac.jp/nyushi/honshi/25/d02/
25,全学統一方式,rt1,https://www.kawai-juku.ac.jp/nyushi/honshi/25/rt1/
26,全学部日程,ks1,https://www.kawai-juku.ac.jp/nyushi/honshi/25/ks1/
27,全学部日程,kg1,https://www.kawai-juku.ac.jp/nyushi/honshi/25/kg1/
